STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FOREST_FIRE,Forest_fire,AREA,Area,CWT,Province,UNIT,Unit measure,FREQ,Frequecny,TIME_PERIOD,OBS_VALUE
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2542,168
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2543,134
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2544,91
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2545,118
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2546,89
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2547,141
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2548,148
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2549,49
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2550,103
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2551,98
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2552,41
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2553,44
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2554,22
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2555,19
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2556,27
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2557,19
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2558,13
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2559,45
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2560,21
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2561,18
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2562,38
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2563,33
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2564,12
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2565,28
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,30,Nakhon Ratchasima,TS,Times,A,Annual,2566,34
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2542,431
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2543,617
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2544,286
DATAFLOW,TNSO:DF_21F_FIRE(1.1),The Forest Fire Dataflow,I,PF,Put out forest fires,TH4,Northeastern,47,Sakon Nakhon,TS,Times,A,Annual,2545,224
